Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y Historical Revenue Growth,1Y Forward Revenue Growth,Total Revenue,PBT,Taxes & Other Items,DII Holding Change – 3M,FII Holding Change – 3M,MF Holding Change – 3M,Promoter Holding Change – 3M,Percentage Buy Reco’s,No. of analysts with buy reco,Percentage Upside
Page Industries Ltd,PAGEIND,Apparel & Accessories,52758.46861,47092.35,98.33091402,12.66139506,31.83661979,3907.45,708.78,172.24,1.283670588,0.103228708,0.665374201,0,23.80952381,5,8.864815623
PI Industries Ltd,PIIND,Diversified Chemicals,51873.05876,3375,61.47553776,18.4957667,22.86468498,5404.5,1032.8,189,0.305176472,0.753682563,0.611352825,-0.659130243,65.38461538,17,9.777777778
JSW Energy Ltd,JSWENERGY,Power Generation,51145.36193,308.9,29.58739453,0.605252646,9.525203616,8744.38,2238.27,509.65,0.28923336,0.067917001,-0.017775631,0.00030413,9.090909091,1,-32.82615733
Trent Ltd,TRENT,Retail - Apparel,51131.79408,1456.95,483.1502796,19.75743517,63.87010861,4678.37,111.22,5.39,0.589754697,-0.893351622,0.691171777,0,56.25,9,7.896633378
Jindal Steel And Power Ltd,JINDALSTEL,Iron & Steel,50946.92146,515,8.855636829,18.7756534,2.611683849,51216,9690.49,3937.44,-0.871905674,0.379635838,-0.999550238,0.753344738,65.2173913,15,2.330097087
Fsn E-Commerce Ventures Ltd,NYKAA,Wellness Services,50899.11373,175.7,1238.722651,NULL,38.50893602,3800.91,47.32,6.23,-0.083306973,-0.400979698,0.118137608,-0.017681136,75,15,47.12602732
Info Edge (India) Ltd,NAUKRI,Online Services,50708.33545,3961.15,3.97414452,73.82161491,-85.89405408,15399.46,14200.11,1440.55,0.507158556,-0.908592469,-0.86924809,0,52.38095238,11,23.82767631
TVS Motor Company Ltd,TVSMOTOR,Two Wheelers,50355.23262,1060.5,66.53528265,14.07120863,6.899892459,24390.67,1066.79,309.97,-3.13426834,2.783495829,-1.066670691,0,57.5,23,15.37010844
Bosch Ltd,BOSCHLTD,Auto Parts,50033.74617,16973.6,41.06849394,1.418610537,NULL,12177.8,1499.9,281.6,-0.153324581,0.058982208,1.312822019,0,40,2,0.774143376
Samvardhana Motherson International Ltd,MOTHERSON,Auto Parts,49508.35116,73.3,56.65867608,8.507113334,14.14102053,64411.9,1788.4,914.6,0.06880375,-0.739878046,0.102467802,0,75,15,28.24010914
Macrotech Developers Ltd,LODHA,Real Estate,48124.12641,997.3,40.02439051,2.396275704,2.247355208,9580.15,1716.54,514.17,0.832118962,-0.618019671,0.022027878,-0.003072147,73.33333333,11,30.55249173
ACC Ltd,ACC,Cement,47429.57603,2514.05,25.45884628,8.03529541,20.4247341,16370.03,2506.38,643.39,-1.616363619,-0.679644071,-0.567913917,2.157475931,53.84615385,21,-3.402875838
Container Corporation of India Ltd,CONCOR,Logistics,46585.33976,765,44.15169816,4.807476044,5.78074577,8041.35,1394.47,339.35,1.045900396,0.40681372,0.092150207,0,56,14,2.614379085
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines",46258.22348,325.85,-186.7359256,-5.011062429,68.64735048,3227,-258.18,-10.46,-0.235653755,1.184067003,1.138862611,0,71.42857143,10,11.24750652
Patanjali Foods Ltd,PATANJALI,Packaged Foods & Meats,46235.64713,1246.3,57.34156059,5.404339558,31.5095829,24284.39,1074.39,268.07,1.515650832,-0.113317081,0.067866435,0,100,1,38.40969269
